Unnamed: 0,Title,Rank,Type,Episodes,Aired,Members,page_url,image_url,Score
3237,Haikyuu!! Quest Picture Drama,5548,OVA,3,Sep 2014 - Sep 2014,21712,https://myanimelist.net/anime/31675/Haikyuu_Quest_Picture_Drama,https://myanimelist.net/anime/31675/Haikyuu_Quest_Picture_Drama/pics,6.66
3238,Shinobi no Ittoki,8525,TV,12,Oct 2022 - Dec 2022,151063,https://myanimelist.net/anime/51098/Shinobi_no_Ittoki,https://myanimelist.net/anime/51098/Shinobi_no_Ittoki/pics,6.08
3239,Kenja no Deshi wo Nanoru Kenja,7343,TV,12,Jan 2022 - Mar 2022,112501,https://myanimelist.net/anime/42072/Kenja_no_Deshi_wo_Nanoru_Kenja,https://myanimelist.net/anime/42072/Kenja_no_Deshi_wo_Nanoru_Kenja/pics,6.31
3240,Brave Fire S0.9,12090,Special,1,Apr 1987 - Apr 1987,611,https://myanimelist.net/anime/10044/Brave_Fire_S09,https://myanimelist.net/anime/10044/Brave_Fire_S09/pics,4.96
3241,Azumanga Daiou The Animation,608,TV,26,Apr 2002 - Oct 2002,329838,https://myanimelist.net/anime/66/Azumanga_Daiou_The_Animation,https://myanimelist.net/anime/66/Azumanga_Daiou_The_Animation/pics,7.99
3242,Sequence,11151,OVA,1,Mar 1992 - Mar 1992,1308,https://myanimelist.net/anime/2096/Sequence,https://myanimelist.net/anime/2096/Sequence/pics,5.4
3243,Bai Yao Pu 2nd Season,3198,ONA,12,Jul 2021 - Sep 2021,3529,https://myanimelist.net/anime/44067/Bai_Yao_Pu_2nd_Season,https://myanimelist.net/anime/44067/Bai_Yao_Pu_2nd_Season/pics,7.17
3244,One Room: Third Season,6718,TV,12,Oct 2020 - Dec 2020,33544,https://myanimelist.net/anime/41364/One_Room__Third_Season,https://myanimelist.net/anime/41364/One_Room__Third_Season/pics,6.44
3245,Baguda-jou no Touzoku,12110,Movie,1,Oct 1926 - Oct 1926,1599,https://myanimelist.net/anime/28041/Baguda-jou_no_Touzoku,https://myanimelist.net/anime/28041/Baguda-jou_no_Touzoku/pics,4.94
3246,Ikuta no Kita,8064,Movie,1,Nov 2021 - Nov 2021,1529,https://myanimelist.net/anime/50427/Ikuta_no_Kita,https://myanimelist.net/anime/50427/Ikuta_no_Kita/pics,6.17
3247,Lao Fu Zi Shui Hu Chuan,9141,Movie,1,Jul 1982 - Jul 1982,442,https://myanimelist.net/anime/30096/Lao_Fu_Zi_Shui_Hu_Chuan,https://myanimelist.net/anime/30096/Lao_Fu_Zi_Shui_Hu_Chuan/pics,5.94
3248,Bosco Daibouken,2874,TV,26,Oct 1986 - Mar 1987,1940,https://myanimelist.net/anime/3460/Bosco_Daibouken,https://myanimelist.net/anime/3460/Bosco_Daibouken/pics,7.23
3249,Shokugeki no Souma,393,TV,24,Apr 2015 - Sep 2015,1589826,https://myanimelist.net/anime/28171/Shokugeki_no_Souma,https://myanimelist.net/anime/28171/Shokugeki_no_Souma/pics,8.16
3250,Musha Knight Commando: SD Gundam Scramble,10674,Movie,2,Mar 1991 - Aug 1991,1971,https://myanimelist.net/anime/9087/Musha_Knight_Commando__SD_Gundam_Scramble,https://myanimelist.net/anime/9087/Musha_Knight_Commando__SD_Gundam_Scramble/pics,5.55
3251,Eightman After,7975,OVA,4,Aug 1993 - Nov 1993,4499,https://myanimelist.net/anime/1344/Eightman_After,https://myanimelist.net/anime/1344/Eightman_After/pics,6.19
3252,Legend of Duo,12203,TV,12,Oct 2004 - Dec 2005,11650,https://myanimelist.net/anime/600/Legend_of_Duo,https://myanimelist.net/anime/600/Legend_of_Duo/pics,4.86
3253,Runningman,11288,ONA,1,Feb 2012 - Feb 2012,381,https://myanimelist.net/anime/33535/Runningman,https://myanimelist.net/anime/33535/Runningman/pics,5.35
3254,Heart Cocktail Again,8350,OVA,1,Oct 2003 - Oct 2003,574,https://myanimelist.net/anime/21121/Heart_Cocktail_Again,https://myanimelist.net/anime/21121/Heart_Cocktail_Again/pics,6.11
3255,Digimon Adventure tri. 2: Ketsui,1900,Movie,1,Mar 2016 - Mar 2016,79063,https://myanimelist.net/anime/32108/Digimon_Adventure_tri_2__Ketsui,https://myanimelist.net/anime/32108/Digimon_Adventure_tri_2__Ketsui/pics,7.45
3256,Uma no Friends,7964,ONA,1,Aug 2017 - Aug 2017,4089,https://myanimelist.net/anime/36119/Uma_no_Friends,https://myanimelist.net/anime/36119/Uma_no_Friends/pics,6.19
3257,Yoru no Kuni,1950,ONA,3,Apr 2021 - Sep 2021,13000,https://myanimelist.net/anime/48727/Yoru_no_Kuni,https://myanimelist.net/anime/48727/Yoru_no_Kuni/pics,7.44
3258,Sidonia no Kishi Movie,2844,Movie,1,Mar 2015 - Mar 2015,12005,https://myanimelist.net/anime/28495/Sidonia_no_Kishi_Movie,https://myanimelist.net/anime/28495/Sidonia_no_Kishi_Movie/pics,7.24
3259,Nineko Gelée,11941,ONA,1,Oct 2016 - Oct 2016,721,https://myanimelist.net/anime/33914/Nineko_Gelée,https://myanimelist.net/anime/33914/Nineko_Gelée/pics,5.06
3260,Gungrave,863,TV,26,Oct 2003 - Mar 2004,184450,https://myanimelist.net/anime/267/Gungrave,https://myanimelist.net/anime/267/Gungrave/pics,7.83
3261,Persona 3 the Movie 1: Spring of Birth,1587,Movie,1,Nov 2013 - Nov 2013,114191,https://myanimelist.net/anime/14407/Persona_3_the_Movie_1__Spring_of_Birth,https://myanimelist.net/anime/14407/Persona_3_the_Movie_1__Spring_of_Birth/pics,7.54
3262,Shounen Sunday CM: Hayate no Gotoku!,10721,Special,1,Jan 2007 - Jan 2007,306,https://myanimelist.net/anime/52687/Shounen_Sunday_CM__Hayate_no_Gotoku,https://myanimelist.net/anime/52687/Shounen_Sunday_CM__Hayate_no_Gotoku/pics,5.54
3263,Twinkle Heart: Gingakei made Todokanai,11114,OVA,1,Dec 1986 - Dec 1986,1584,https://myanimelist.net/anime/10355/Twinkle_Heart__Gingakei_made_Todokanai,https://myanimelist.net/anime/10355/Twinkle_Heart__Gingakei_made_Todokanai/pics,5.41
3264,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,145,Movie,1,Apr 2013 - Apr 2013,573537,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu/pics,8.45
3265,Long Zhi Gu: Poxiao Qibing,3273,Movie,1,Jul 2014 - Jul 2014,5051,https://myanimelist.net/anime/27825/Long_Zhi_Gu__Poxiao_Qibing,https://myanimelist.net/anime/27825/Long_Zhi_Gu__Poxiao_Qibing/pics,7.16
3266,Sword Gai The Animation Part II,9955,ONA,12,Jul 2018 - Jul 2018,29215,https://myanimelist.net/anime/37655/Sword_Gai_The_Animation_Part_II,https://myanimelist.net/anime/37655/Sword_Gai_The_Animation_Part_II/pics,5.74
3267,Docchi ni Suru?,11088,Movie,1,1999 - 1999,882,https://myanimelist.net/anime/6797/Docchi_ni_Suru,https://myanimelist.net/anime/6797/Docchi_ni_Suru/pics,5.42
3268,Seitokai Yakuindomo Movie,867,Movie,1,Jul 2017 - Jul 2017,58000,https://myanimelist.net/anime/34504/Seitokai_Yakuindomo_Movie,https://myanimelist.net/anime/34504/Seitokai_Yakuindomo_Movie/pics,7.83
3269,Sayonara Zetsubou Sensei Special,1868,Special,1,Jan 2012 - Jan 2012,18257,https://myanimelist.net/anime/10469/Sayonara_Zetsubou_Sensei_Special,https://myanimelist.net/anime/10469/Sayonara_Zetsubou_Sensei_Special/pics,7.46
3270,Kenda Master Ken (TV),10667,TV,10,Apr 2022 - Jun 2022,753,https://myanimelist.net/anime/51636/Kenda_Master_Ken_TV,https://myanimelist.net/anime/51636/Kenda_Master_Ken_TV/pics,5.55
3271,Detective Conan Movie 07: Crossroad in the Ancient Capital,916,Movie,1,Apr 2003 - Apr 2003,50096,https://myanimelist.net/anime/1366/Detective_Conan_Movie_07__Crossroad_in_the_Ancient_Capital,https://myanimelist.net/anime/1366/Detective_Conan_Movie_07__Crossroad_in_the_Ancient_Capital/pics,7.8
3272,Shinryaku! Ika Musume,2072,TV,12,Oct 2010 - Dec 2010,194092,https://myanimelist.net/anime/8557/Shinryaku_Ika_Musume,https://myanimelist.net/anime/8557/Shinryaku_Ika_Musume/pics,7.41
3273,Beatless Intermission,10492,Special,4,Feb 2018 - Jun 2018,12093,https://myanimelist.net/anime/37277/Beatless_Intermission,https://myanimelist.net/anime/37277/Beatless_Intermission/pics,5.6
3274,Coffee Tadaiku,12134,Movie,1,2011 - 2011,909,https://myanimelist.net/anime/5299/Coffee_Tadaiku,https://myanimelist.net/anime/5299/Coffee_Tadaiku/pics,4.92
3275,Koukaku no Pandora: Pandoradio,9535,Special,6,May 2016 - Oct 2016,1804,https://myanimelist.net/anime/37026/Koukaku_no_Pandora__Pandoradio,https://myanimelist.net/anime/37026/Koukaku_no_Pandora__Pandoradio/pics,5.85
3276,Shadowverse Flame,5352,TV,50,Apr 2022 - Mar 2023,5445,https://myanimelist.net/anime/50060/Shadowverse_Flame,https://myanimelist.net/anime/50060/Shadowverse_Flame/pics,6.7
3277,Busou Shinki: Install x Dream,6291,OVA,1,Jun 2013 - Jun 2013,6412,https://myanimelist.net/anime/16614/Busou_Shinki__Install_x_Dream,https://myanimelist.net/anime/16614/Busou_Shinki__Install_x_Dream/pics,6.52
3278,Konohana no Sakuya Mori,9140,Movie,1,2015 - 2015,706,https://myanimelist.net/anime/34849/Konohana_no_Sakuya_Mori,https://myanimelist.net/anime/34849/Konohana_no_Sakuya_Mori/pics,5.94
3279,Kakugo no Susume,12338,OVA,2,Oct 1996 - Dec 1996,11183,https://myanimelist.net/anime/1647/Kakugo_no_Susume,https://myanimelist.net/anime/1647/Kakugo_no_Susume/pics,4.76
3280,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches Recap,9608,Special,1,Aug 2022 - Aug 2022,597,https://myanimelist.net/anime/52748/Renmei_Kuugun_Koukuu_Mahou_Ongakutai_Luminous_Witches_Recap,https://myanimelist.net/anime/52748/Renmei_Kuugun_Koukuu_Mahou_Ongakutai_Luminous_Witches_Recap/pics,5.83
3281,Mairimashita! Iruma-kun,1019,TV,23,Oct 2019 - Mar 2020,453596,https://myanimelist.net/anime/39196/Mairimashita_Iruma-kun,https://myanimelist.net/anime/39196/Mairimashita_Iruma-kun/pics,7.75
3282,Kimagure Orange☆Road: Tanabata Special,5935,OVA,1,Nov 1987 - Nov 1987,1923,https://myanimelist.net/anime/14059/Kimagure_Orange☆Road__Tanabata_Special,https://myanimelist.net/anime/14059/Kimagure_Orange☆Road__Tanabata_Special/pics,6.58
3283,Mahoutsukai no Yome Season 2,1009,TV,12,Apr 2023 - Jun 2023,140490,https://myanimelist.net/anime/52955/Mahoutsukai_no_Yome_Season_2,https://myanimelist.net/anime/52955/Mahoutsukai_no_Yome_Season_2/pics,7.76
3284,Yakitori,6827,ONA,6,May 2023 - May 2023,2271,https://myanimelist.net/anime/54851/Yakitori,https://myanimelist.net/anime/54851/Yakitori/pics,6.42
3285,Bungou Stray Dogs: Hitori Ayumu,1246,OVA,1,Aug 2017 - Aug 2017,163436,https://myanimelist.net/anime/33071/Bungou_Stray_Dogs__Hitori_Ayumu,https://myanimelist.net/anime/33071/Bungou_Stray_Dogs__Hitori_Ayumu/pics,7.66
3286,Kemurikusa (TV),3690,TV,12,Jan 2019 - Mar 2019,30146,https://myanimelist.net/anime/37302/Kemurikusa_TV,https://myanimelist.net/anime/37302/Kemurikusa_TV/pics,7.07
3287,Bakegyamon,5994,TV,51,Apr 2006 - Mar 2007,3520,https://myanimelist.net/anime/2786/Bakegyamon,https://myanimelist.net/anime/2786/Bakegyamon/pics,6.57
3288,Honto ni Atta! Reibai Sensei,6343,TV,22,Apr 2011 - Sep 2011,7872,https://myanimelist.net/anime/10338/Honto_ni_Atta_Reibai_Sensei,https://myanimelist.net/anime/10338/Honto_ni_Atta_Reibai_Sensei/pics,6.51
3289,Machine Hayabusa,8203,TV,21,Apr 1976 - Sep 1976,1051,https://myanimelist.net/anime/10562/Machine_Hayabusa,https://myanimelist.net/anime/10562/Machine_Hayabusa/pics,6.14
3290,Initial D Second Stage,401,TV,13,Oct 1999 - Jan 2000,203986,https://myanimelist.net/anime/186/Initial_D_Second_Stage,https://myanimelist.net/anime/186/Initial_D_Second_Stage/pics,8.16
3291,Kidou Senshi Gundam 00: Tenshi-tachi no Kiseki,3299,Special,1,Sep 2008 - Sep 2008,7330,https://myanimelist.net/anime/5351/Kidou_Senshi_Gundam_00__Tenshi-tachi_no_Kiseki,https://myanimelist.net/anime/5351/Kidou_Senshi_Gundam_00__Tenshi-tachi_no_Kiseki/pics,7.15
3292,Shiawase Pasta Story,10010,ONA,8,Nov 2010 - Oct 2011,809,https://myanimelist.net/anime/37423/Shiawase_Pasta_Story,https://myanimelist.net/anime/37423/Shiawase_Pasta_Story/pics,5.73
3293,K-On!!: Ura-On!!,6164,Special,9,Jul 2010 - Mar 2011,42895,https://myanimelist.net/anime/9203/K-On__Ura-On,https://myanimelist.net/anime/9203/K-On__Ura-On/pics,6.54
3294,Koutetsu no Vendetta Episode 0,10049,ONA,1,Feb 2013 - Feb 2013,653,https://myanimelist.net/anime/17563/Koutetsu_no_Vendetta_Episode_0,https://myanimelist.net/anime/17563/Koutetsu_no_Vendetta_Episode_0/pics,5.72
3295,Yuusha Shirei Dagwon: Suishou no Hitomi no Shounen,9369,OVA,2,Oct 1997 - Dec 1997,894,https://myanimelist.net/anime/5396/Yuusha_Shirei_Dagwon__Suishou_no_Hitomi_no_Shounen,https://myanimelist.net/anime/5396/Yuusha_Shirei_Dagwon__Suishou_no_Hitomi_no_Shounen/pics,5.89
3296,Gensei Shugoshin P-hyoro Ikka,11731,OVA,3,Sep 1988 - Sep 1988,789,https://myanimelist.net/anime/25363/Gensei_Shugoshin_P-hyoro_Ikka,https://myanimelist.net/anime/25363/Gensei_Shugoshin_P-hyoro_Ikka/pics,5.17
3297,Gridman Universe,3641,Movie,1,Mar 2023 - Mar 2023,17941,https://myanimelist.net/anime/50587/Gridman_Universe,https://myanimelist.net/anime/50587/Gridman_Universe/pics,7.08
3298,Xiong Chumo: Xue Ling Xiong Feng,10028,Movie,1,Jan 2015 - Jan 2015,369,https://myanimelist.net/anime/32809/Xiong_Chumo__Xue_Ling_Xiong_Feng,https://myanimelist.net/anime/32809/Xiong_Chumo__Xue_Ling_Xiong_Feng/pics,5.72
3299,Agigongryong Doolie,8905,TV,6,Oct 1987 - Oct 1987,606,https://myanimelist.net/anime/17088/Agigongryong_Doolie,https://myanimelist.net/anime/17088/Agigongryong_Doolie/pics,5.99
3300,Ponkotsuland Saga,12573,ONA,3,Oct 2015 - Oct 2019,2128,https://myanimelist.net/anime/31647/Ponkotsuland_Saga,https://myanimelist.net/anime/31647/Ponkotsuland_Saga/pics,4.47
3301,Beer Mukashi Mukashi,11451,Movie,1,1956 - 1956,441,https://myanimelist.net/anime/29897/Beer_Mukashi_Mukashi,https://myanimelist.net/anime/29897/Beer_Mukashi_Mukashi/pics,5.29
3302,Girls & Panzer Heartful Tank Disc: Fushou Akiyama Yukari no Sensha Kouza,4938,Special,1,Sep 2013 - Sep 2013,4892,https://myanimelist.net/anime/29853/Girls___Panzer_Heartful_Tank_Disc__Fushou_Akiyama_Yukari_no_Sensha_Kouza,https://myanimelist.net/anime/29853/Girls___Panzer_Heartful_Tank_Disc__Fushou_Akiyama_Yukari_no_Sensha_Kouza/pics,6.79
3303,Kamichama Karin,3022,TV,26,Apr 2007 - Sep 2007,50985,https://myanimelist.net/anime/1808/Kamichama_Karin,https://myanimelist.net/anime/1808/Kamichama_Karin/pics,7.21
3304,JRA Hokan Keikaku,12484,ONA,3,Jun 2012 - Oct 2012,3390,https://myanimelist.net/anime/32739/JRA_Hokan_Keikaku,https://myanimelist.net/anime/32739/JRA_Hokan_Keikaku/pics,4.61
3305,Fresh Precure! Movie: Omocha no Kuni wa Himitsu ga Ippai!?,5454,Movie,1,Oct 2009 - Oct 2009,4796,https://myanimelist.net/anime/6527/Fresh_Precure_Movie__Omocha_no_Kuni_wa_Himitsu_ga_Ippai,https://myanimelist.net/anime/6527/Fresh_Precure_Movie__Omocha_no_Kuni_wa_Himitsu_ga_Ippai/pics,6.68
3306,Donbei x Kemurikusa,11425,ONA,1,Feb 2019 - Feb 2019,1381,https://myanimelist.net/anime/39415/Donbei_x_Kemurikusa,https://myanimelist.net/anime/39415/Donbei_x_Kemurikusa/pics,5.3
3307,Bakukyuu Hit! Crash B-Daman,8635,TV,50,Jan 2006 - Dec 2006,2113,https://myanimelist.net/anime/4563/Bakukyuu_Hit_Crash_B-Daman,https://myanimelist.net/anime/4563/Bakukyuu_Hit_Crash_B-Daman/pics,6.05
3308,Ensemble Stars!! Road to Show!!,3772,Movie,1,Mar 2022 - Mar 2022,5117,https://myanimelist.net/anime/50414/Ensemble_Stars_Road_to_Show,https://myanimelist.net/anime/50414/Ensemble_Stars_Road_to_Show/pics,7.05
3309,RahXephon: Kansoukyoku/Kanojo to Kanojo Jishin to - Thatness and Thereness,7596,OVA,1,Aug 2003 - Aug 2003,7257,https://myanimelist.net/anime/559/RahXephon__Kansoukyoku_Kanojo_to_Kanojo_Jishin_to_-_Thatness_and_Thereness,https://myanimelist.net/anime/559/RahXephon__Kansoukyoku_Kanojo_to_Kanojo_Jishin_to_-_Thatness_and_Thereness/pics,6.27
3310,Ohayou Ninja-tai Gatchaman,10816,TV,475,Apr 2011 - Mar 2013,828,https://myanimelist.net/anime/31517/Ohayou_Ninja-tai_Gatchaman,https://myanimelist.net/anime/31517/Ohayou_Ninja-tai_Gatchaman/pics,5.51
3311,Wu Liuqi: Anying Suming,703,ONA,10,Jan 2023 - Mar 2023,11513,https://myanimelist.net/anime/54029/Wu_Liuqi__Anying_Suming,https://myanimelist.net/anime/54029/Wu_Liuqi__Anying_Suming/pics,7.91
3312,Schoolgirl Strikers: Animation Channel,10124,TV,13,Jan 2017 - Apr 2017,19787,https://myanimelist.net/anime/34289/Schoolgirl_Strikers__Animation_Channel,https://myanimelist.net/anime/34289/Schoolgirl_Strikers__Animation_Channel/pics,5.7
3313,Kerorinpasu,12619,ONA,1,Feb 2011 - Feb 2011,505,https://myanimelist.net/anime/32293/Kerorinpasu,https://myanimelist.net/anime/32293/Kerorinpasu/pics,4.36
3314,30-sai no Hoken Taiiku,5689,TV,12,Apr 2011 - Jun 2011,62803,https://myanimelist.net/anime/9624/30-sai_no_Hoken_Taiiku,https://myanimelist.net/anime/9624/30-sai_no_Hoken_Taiiku/pics,6.63
3315,Yukiwatari,8560,Movie,1,Jul 1994 - Jul 1994,517,https://myanimelist.net/anime/15141/Yukiwatari,https://myanimelist.net/anime/15141/Yukiwatari/pics,6.07
3316,Sin: Nanatsu no Taizai Zange-roku,9152,ONA,12,Apr 2017 - Jul 2017,13590,https://myanimelist.net/anime/35417/Sin__Nanatsu_no_Taizai_Zange-roku,https://myanimelist.net/anime/35417/Sin__Nanatsu_no_Taizai_Zange-roku/pics,5.94
3317,Saraiya Goyou,990,TV,12,Apr 2010 - Jul 2010,90029,https://myanimelist.net/anime/7588/Saraiya_Goyou,https://myanimelist.net/anime/7588/Saraiya_Goyou/pics,7.77
3318,Maken Liner 0011 Henshin Seyo!,11590,Movie,1,Jul 1972 - Jul 1972,863,https://myanimelist.net/anime/11269/Maken_Liner_0011_Henshin_Seyo,https://myanimelist.net/anime/11269/Maken_Liner_0011_Henshin_Seyo/pics,5.23
3319,Shingeki no Kyojin Season 3 Specials,1523,Special,7,Oct 2018 - Sep 2019,33014,https://myanimelist.net/anime/39477/Shingeki_no_Kyojin_Season_3_Specials,https://myanimelist.net/anime/39477/Shingeki_no_Kyojin_Season_3_Specials/pics,7.56
3320,Lei Su Deng Shandian Chong Xian 3,9216,TV,40,Nov 2012 -,333,https://myanimelist.net/anime/38379/Lei_Su_Deng_Shandian_Chong_Xian_3,https://myanimelist.net/anime/38379/Lei_Su_Deng_Shandian_Chong_Xian_3/pics,5.92
3321,Aa! Megami-sama! (2011),2401,OVA,3,Feb 2011 - Aug 2013,21901,https://myanimelist.net/anime/9611/Aa_Megami-sama_2011,https://myanimelist.net/anime/9611/Aa_Megami-sama_2011/pics,7.33
3322,Chikyuu Monogatari Telepath 2500,10700,Movie,1,Aug 1984 - Aug 1984,936,https://myanimelist.net/anime/8563/Chikyuu_Monogatari_Telepath_2500,https://myanimelist.net/anime/8563/Chikyuu_Monogatari_Telepath_2500/pics,5.54
3323,Ikeike! Momon-chan Specials,11634,Special,3,Dec 2012 - Mar 2013,621,https://myanimelist.net/anime/18425/Ikeike_Momon-chan_Specials,https://myanimelist.net/anime/18425/Ikeike_Momon-chan_Specials/pics,5.21
3324,Samuraider: Nazo no Tenkousei,11335,OVA,1,Feb 1991 - Feb 1991,745,https://myanimelist.net/anime/9993/Samuraider__Nazo_no_Tenkousei,https://myanimelist.net/anime/9993/Samuraider__Nazo_no_Tenkousei/pics,5.34
3325,Kashimashi: Girl Meets Girl - Shoujo wa Shoujo ni Koi wo Shita,5110,OVA,1,Oct 2006 - Oct 2006,15229,https://myanimelist.net/anime/1654/Kashimashi__Girl_Meets_Girl_-_Shoujo_wa_Shoujo_ni_Koi_wo_Shita,https://myanimelist.net/anime/1654/Kashimashi__Girl_Meets_Girl_-_Shoujo_wa_Shoujo_ni_Koi_wo_Shita/pics,6.75
3326,Bleach Movie 4: Jigoku-hen,1362,Movie,1,Dec 2010 - Dec 2010,206056,https://myanimelist.net/anime/8247/Bleach_Movie_4__Jigoku-hen,https://myanimelist.net/anime/8247/Bleach_Movie_4__Jigoku-hen/pics,7.61
3327,Dragon Ball Z: Summer Vacation Special,6148,Special,1,Jul 1992 - Jul 1992,13352,https://myanimelist.net/anime/22695/Dragon_Ball_Z__Summer_Vacation_Special,https://myanimelist.net/anime/22695/Dragon_Ball_Z__Summer_Vacation_Special/pics,6.54
3328,Soukou Kihei Votoms: The Last Red Shoulder,3662,OVA,1,Aug 1985 - Aug 1985,4116,https://myanimelist.net/anime/2583/Soukou_Kihei_Votoms__The_Last_Red_Shoulder,https://myanimelist.net/anime/2583/Soukou_Kihei_Votoms__The_Last_Red_Shoulder/pics,7.08
3329,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,1451,OVA,1,May 2021 - May 2021,218942,https://myanimelist.net/anime/43609/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen_OVA,https://myanimelist.net/anime/43609/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen_OVA/pics,7.58
3330,Koitabi: True Tours Nanto,4602,Special,6,Apr 2013 - Apr 2013,16918,https://myanimelist.net/anime/17635/Koitabi__True_Tours_Nanto,https://myanimelist.net/anime/17635/Koitabi__True_Tours_Nanto/pics,6.86
3331,Hana no Hi,12434,Movie,1,2005 - 2005,795,https://myanimelist.net/anime/20153/Hana_no_Hi,https://myanimelist.net/anime/20153/Hana_no_Hi/pics,4.67
3332,Cuticle Tantei Inaba,2792,TV,12,Jan 2013 - Mar 2013,102360,https://myanimelist.net/anime/15109/Cuticle_Tantei_Inaba,https://myanimelist.net/anime/15109/Cuticle_Tantei_Inaba/pics,7.25
3333,Doupo Cangqiong 4th Season,683,ONA,24,Mar 2021 - Aug 2021,6262,https://myanimelist.net/anime/44412/Doupo_Cangqiong_4th_Season,https://myanimelist.net/anime/44412/Doupo_Cangqiong_4th_Season/pics,7.93
3334,School Rumble,758,TV,26,Oct 2004 - Mar 2005,320817,https://myanimelist.net/anime/24/School_Rumble,https://myanimelist.net/anime/24/School_Rumble/pics,7.89
3335,Tatakae!! Iczer-1,8036,OVA,3,Oct 1985 - Mar 1987,8835,https://myanimelist.net/anime/2291/Tatakae_Iczer-1,https://myanimelist.net/anime/2291/Tatakae_Iczer-1/pics,6.17
3336,Bonjour♪Koiaji Pâtisserie,8427,ONA,24,Oct 2014 - Mar 2015,58636,https://myanimelist.net/anime/25839/Bonjour♪Koiaji_Pâtisserie,https://myanimelist.net/anime/25839/Bonjour♪Koiaji_Pâtisserie/pics,6.09
3337,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",3347,Special,1,Apr 2005 - Apr 2005,189366,https://myanimelist.net/anime/376/Elfen_Lied__Tooriame_nite_Arui_wa_Shoujo_wa_Ikani_Shite_Sono_Shinjou_ni_Itatta_ka_-_Regenschauer,https://myanimelist.net/anime/376/Elfen_Lied__Tooriame_nite_Arui_wa_Shoujo_wa_Ikani_Shite_Sono_Shinjou_ni_Itatta_ka_-_Regenschauer/pics,7.14
3338,Yurei Deco,8757,TV,12,Jul 2022 - Sep 2022,18625,https://myanimelist.net/anime/51092/Yurei_Deco,https://myanimelist.net/anime/51092/Yurei_Deco/pics,6.03
3339,Berserk 2nd Season,6050,TV,12,Apr 2017 - Jun 2017,175448,https://myanimelist.net/anime/34055/Berserk_2nd_Season,https://myanimelist.net/anime/34055/Berserk_2nd_Season/pics,6.56
3340,Wan Jie Xian Zong 5th Season,4577,ONA,?,Jun 2021 -,1876,https://myanimelist.net/anime/49305/Wan_Jie_Xian_Zong_5th_Season,https://myanimelist.net/anime/49305/Wan_Jie_Xian_Zong_5th_Season/pics,6.87
3341,Gundam Build Divers: Battlogue,6419,ONA,1,Nov 2020 - Nov 2020,2731,https://myanimelist.net/anime/44050/Gundam_Build_Divers__Battlogue,https://myanimelist.net/anime/44050/Gundam_Build_Divers__Battlogue/pics,6.5
3342,Metal Fight Beyblade Zero G,8790,TV,38,Apr 2012 - Dec 2012,14475,https://myanimelist.net/anime/13231/Metal_Fight_Beyblade_Zero_G,https://myanimelist.net/anime/13231/Metal_Fight_Beyblade_Zero_G/pics,6.02
3343,Rurouni Kenshin Recap,3292,Special,1,Jul 1997 - Jul 1997,9061,https://myanimelist.net/anime/10334/Rurouni_Kenshin_Recap,https://myanimelist.net/anime/10334/Rurouni_Kenshin_Recap/pics,7.16
3344,Shaonian Jinyiwei 2nd Season,7867,ONA,13,Oct 2017 - Jan 2018,593,https://myanimelist.net/anime/37152/Shaonian_Jinyiwei_2nd_Season,https://myanimelist.net/anime/37152/Shaonian_Jinyiwei_2nd_Season/pics,6.21
3345,A.F,12673,Special,1,Sep 2002 - Sep 2002,1423,https://myanimelist.net/anime/4934/AF,https://myanimelist.net/anime/4934/AF/pics,4.15
3346,Keroro Gunsou: Mushakero Ohirome Sengoku Ranstar Dai Battle,6586,Special,1,Mar 2008 - Mar 2008,1421,https://myanimelist.net/anime/11281/Keroro_Gunsou__Mushakero_Ohirome_Sengoku_Ranstar_Dai_Battle,https://myanimelist.net/anime/11281/Keroro_Gunsou__Mushakero_Ohirome_Sengoku_Ranstar_Dai_Battle/pics,6.46
3347,Harukanaru Toki no Naka de: Hachiyou Shou Recap,8996,Special,1,Jul 2006 - Jul 2006,941,https://myanimelist.net/anime/30145/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou_Recap,https://myanimelist.net/anime/30145/Harukanaru_Toki_no_Naka_de__Hachiyou_Shou_Recap/pics,5.97
3348,MTV Town,12121,Special,1,2019 - 2019,247,https://myanimelist.net/anime/42807/MTV_Town,https://myanimelist.net/anime/42807/MTV_Town/pics,4.93
