Unnamed: 0,Title,Rank,Type,Episodes,Aired,Members,page_url,image_url,Score
6707,Kimi ga Nozomu Eien: Ayu Mayu Gekijou,8083,ONA,7,Sep 2006 - Feb 2007,6508,https://myanimelist.net/anime/1856/Kimi_ga_Nozomu_Eien__Ayu_Mayu_Gekijou,https://myanimelist.net/anime/1856/Kimi_ga_Nozomu_Eien__Ayu_Mayu_Gekijou/pics,6.16
6708,Xue Ying Ling Zhu 2nd Season,2624,ONA,22,Dec 2020 - Mar 2021,2287,https://myanimelist.net/anime/45599/Xue_Ying_Ling_Zhu_2nd_Season,https://myanimelist.net/anime/45599/Xue_Ying_Ling_Zhu_2nd_Season/pics,7.28
6709,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X,2811,TV,12,Jul 2021 - Sep 2021,218601,https://myanimelist.net/anime/42282/Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta_X,https://myanimelist.net/anime/42282/Otome_Game_no_Hametsu_Flag_shika_Nai_Akuyaku_Reijou_ni_Tensei_shiteshimatta_X/pics,7.25
6710,Zanting! Rang Wo Cha Gonglüe,7076,ONA,12,May 2022 - Jul 2022,1756,https://myanimelist.net/anime/50571/Zanting_Rang_Wo_Cha_Gonglüe,https://myanimelist.net/anime/50571/Zanting_Rang_Wo_Cha_Gonglüe/pics,6.37
6711,Green Green OVA,8994,OVA,1,Dec 2002 - Dec 2002,27505,https://myanimelist.net/anime/881/Green_Green_OVA,https://myanimelist.net/anime/881/Green_Green_OVA/pics,5.97
6712,Kappa Kawatarou,11327,Movie,1,Apr 1954 - Apr 1954,508,https://myanimelist.net/anime/23639/Kappa_Kawatarou,https://myanimelist.net/anime/23639/Kappa_Kawatarou/pics,5.34
6713,Yi Ren Zhi Xia,4787,TV,12,Jul 2016 - Sep 2016,200951,https://myanimelist.net/anime/33421/Yi_Ren_Zhi_Xia,https://myanimelist.net/anime/33421/Yi_Ren_Zhi_Xia/pics,6.82
6714,Airy Me,7473,Movie,1,Jul 2013 - Jul 2013,4964,https://myanimelist.net/anime/21861/Airy_Me,https://myanimelist.net/anime/21861/Airy_Me/pics,6.29
6715,Shounen Sunday CM: Devil & Devil,11275,Special,1,Nov 1998 - Nov 1998,311,https://myanimelist.net/anime/40345/Shounen_Sunday_CM__Devil___Devil,https://myanimelist.net/anime/40345/Shounen_Sunday_CM__Devil___Devil/pics,5.36
6716,Baby☆Love,8186,OVA,1,Nov 1997 - Nov 1997,6182,https://myanimelist.net/anime/722/Baby☆Love,https://myanimelist.net/anime/722/Baby☆Love/pics,6.14
6717,Digimon Ghost Game,5151,TV,67,Oct 2021 - Mar 2023,21396,https://myanimelist.net/anime/49515/Digimon_Ghost_Game,https://myanimelist.net/anime/49515/Digimon_Ghost_Game/pics,6.74
6718,Yin Yang Shi: Ping An Wu Yu,8101,ONA,12,Apr 2018 - Jul 2018,2970,https://myanimelist.net/anime/37641/Yin_Yang_Shi__Ping_An_Wu_Yu,https://myanimelist.net/anime/37641/Yin_Yang_Shi__Ping_An_Wu_Yu/pics,6.16
6719,Ling Yu 3rd Season,6505,ONA,12,Jul 2016 - Oct 2016,2053,https://myanimelist.net/anime/36791/Ling_Yu_3rd_Season,https://myanimelist.net/anime/36791/Ling_Yu_3rd_Season/pics,6.48
6720,3D Kanojo: Real Girl 2nd Season,1203,TV,12,Jan 2019 - Mar 2019,179982,https://myanimelist.net/anime/37956/3D_Kanojo__Real_Girl_2nd_Season,https://myanimelist.net/anime/37956/3D_Kanojo__Real_Girl_2nd_Season/pics,7.67
6721,Kyoto Teramachi Sanjou no Holmes,5189,TV,12,Jul 2018 - Sep 2018,62947,https://myanimelist.net/anime/37458/Kyoto_Teramachi_Sanjou_no_Holmes,https://myanimelist.net/anime/37458/Kyoto_Teramachi_Sanjou_no_Holmes/pics,6.73
6722,Ginga no Uo Ursa Minor Blue,7998,OVA,1,May 1993 - May 1993,3267,https://myanimelist.net/anime/3518/Ginga_no_Uo_Ursa_Minor_Blue,https://myanimelist.net/anime/3518/Ginga_no_Uo_Ursa_Minor_Blue/pics,6.18
6723,Kiniro Mosaic,2902,TV,12,Jul 2013 - Sep 2013,179717,https://myanimelist.net/anime/16732/Kiniro_Mosaic,https://myanimelist.net/anime/16732/Kiniro_Mosaic/pics,7.23
6724,Detective Conan Movie 10: Promo Special,1316,Special,1,2006 - 2006,9952,https://myanimelist.net/anime/7305/Detective_Conan_Movie_10__Promo_Special,https://myanimelist.net/anime/7305/Detective_Conan_Movie_10__Promo_Special/pics,7.63
6725,I Love Picnic,11431,Special,1,2003 - 2003,558,https://myanimelist.net/anime/25973/I_Love_Picnic,https://myanimelist.net/anime/25973/I_Love_Picnic/pics,5.3
6726,Kindaichi Shounen no Jikenbo Returns 2nd Season,1263,TV,22,Oct 2015 - Mar 2016,11081,https://myanimelist.net/anime/31227/Kindaichi_Shounen_no_Jikenbo_Returns_2nd_Season,https://myanimelist.net/anime/31227/Kindaichi_Shounen_no_Jikenbo_Returns_2nd_Season/pics,7.65
6727,Wan Yu Feng Shen,8471,ONA,60,Dec 2021 - Jul 2022,1065,https://myanimelist.net/anime/50588/Wan_Yu_Feng_Shen,https://myanimelist.net/anime/50588/Wan_Yu_Feng_Shen/pics,6.09
6728,Pandora Hearts Omake,2360,Special,9,Jul 2009 - Mar 2010,45279,https://myanimelist.net/anime/6896/Pandora_Hearts_Omake,https://myanimelist.net/anime/6896/Pandora_Hearts_Omake/pics,7.34
6729,Dragon Ball Super: Broly - Skytree Super,3012,Special,1,Nov 2018 - Nov 2018,16644,https://myanimelist.net/anime/38653/Dragon_Ball_Super__Broly_-_Skytree_Super,https://myanimelist.net/anime/38653/Dragon_Ball_Super__Broly_-_Skytree_Super/pics,7.21
6730,Seitokai Yakuindomo,1521,TV,13,Jul 2010 - Sep 2010,480350,https://myanimelist.net/anime/8675/Seitokai_Yakuindomo,https://myanimelist.net/anime/8675/Seitokai_Yakuindomo/pics,7.56
6731,Kiki to Lala no Habatake! Pegasus,10914,OVA,1,Mar 1994 - Mar 1994,448,https://myanimelist.net/anime/29247/Kiki_to_Lala_no_Habatake_Pegasus,https://myanimelist.net/anime/29247/Kiki_to_Lala_no_Habatake_Pegasus/pics,5.47
6732,Pokemon XY: Odemashi Ko Majin Hoopa,6574,OVA,1,Jun 2015 - Jun 2015,9361,https://myanimelist.net/anime/31168/Pokemon_XY__Odemashi_Ko_Majin_Hoopa,https://myanimelist.net/anime/31168/Pokemon_XY__Odemashi_Ko_Majin_Hoopa/pics,6.47
6733,Tonari no Kyuuketsuki-san,3607,TV,12,Oct 2018 - Dec 2018,102361,https://myanimelist.net/anime/37579/Tonari_no_Kyuuketsuki-san,https://myanimelist.net/anime/37579/Tonari_no_Kyuuketsuki-san/pics,7.09
6734,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen",682,Special,1,Jul 2008 - Jul 2008,299540,https://myanimelist.net/anime/4059/Clannad__Mou_Hitotsu_no_Sekai_Tomoyo-hen,https://myanimelist.net/anime/4059/Clannad__Mou_Hitotsu_no_Sekai_Tomoyo-hen/pics,7.93
6735,Hokuto no Ken: Raoh Gaiden Gekitou-hen,1506,Movie,1,Apr 2007 - Apr 2007,9856,https://myanimelist.net/anime/2174/Hokuto_no_Ken__Raoh_Gaiden_Gekitou-hen,https://myanimelist.net/anime/2174/Hokuto_no_Ken__Raoh_Gaiden_Gekitou-hen/pics,7.56
6736,Izumo,10601,OVA,2,Sep 1991 - Oct 1991,1179,https://myanimelist.net/anime/5876/Izumo,https://myanimelist.net/anime/5876/Izumo/pics,5.57
6737,Saiki Kusuo no Ψ-nan (ONA),3457,ONA,1,Aug 2013 - Aug 2013,40748,https://myanimelist.net/anime/19469/Saiki_Kusuo_no_Ψ-nan_ONA,https://myanimelist.net/anime/19469/Saiki_Kusuo_no_Ψ-nan_ONA/pics,7.12
6738,Shuumatsu no Walküre,5183,ONA,12,Jun 2021 - Jun 2021,273354,https://myanimelist.net/anime/44942/Shuumatsu_no_Walküre,https://myanimelist.net/anime/44942/Shuumatsu_no_Walküre/pics,6.74
6739,H. P. Lovecraft's The Dunwich Horror and Other Stories,9579,OVA,1,Aug 2007 - Aug 2007,3470,https://myanimelist.net/anime/3906/H_P_Lovecrafts_The_Dunwich_Horror_and_Other_Stories,https://myanimelist.net/anime/3906/H_P_Lovecrafts_The_Dunwich_Horror_and_Other_Stories/pics,5.84
6740,Big Order (TV),11259,TV,10,Apr 2016 - Jun 2016,225586,https://myanimelist.net/anime/31904/Big_Order_TV,https://myanimelist.net/anime/31904/Big_Order_TV/pics,5.36
6741,Senki Zesshou Symphogear GX,1941,TV,13,Jul 2015 - Sep 2015,45760,https://myanimelist.net/anime/21573/Senki_Zesshou_Symphogear_GX,https://myanimelist.net/anime/21573/Senki_Zesshou_Symphogear_GX/pics,7.44
6742,Li Shi Zhentan Shiwusuo: A Day in Lungmen - Once Upon a Time in Lungmen,10305,ONA,1,Jan 2023 - Jan 2023,983,https://myanimelist.net/anime/54340/Li_Shi_Zhentan_Shiwusuo__A_Day_in_Lungmen_-_Once_Upon_a_Time_in_Lungmen,https://myanimelist.net/anime/54340/Li_Shi_Zhentan_Shiwusuo__A_Day_in_Lungmen_-_Once_Upon_a_Time_in_Lungmen/pics,5.65
